show_name,show_id,season,episode_num,episode_name,original_air_date,synopsis
Full House,1,1,1,Our Very First Show,1987-09-18,"Danny Tanner, widowed father of three young and rambunctious girls, ages 9 months, 5 and 10 years, recruits his two buddies--his rock 'n' roller brother-in-law, Jesse, and his best friend, Joey, an infrequently employed stand-up comic to help raise his daughters."
Full House,1,1,2,Our Very First Night,1987-09-25,"The girls are rockin' when Uncle Jesse is left in charge of them for the night, but Danny is reeling when he arrives home to find Jesse conducting band practice."
Full House,1,1,3,The First Day of School,1987-10-02,Stephanie's reluctance to attend her first day of school disappears when Joey and Jesse visit her kindergarten class.
Full House,1,1,4,The Return of Grandma,1987-10-09,"A frantic search for Jesse's missing pet turtle leaves the Tanner home disheveled, just before an unexpected visit from the guys' mothers."
Full House,1,1,5,Sea Cruise,1987-10-16,"Danny's all-male fishing trip turns into a love-boat cruise, complete with a female captain and an all-girl rock band."
Full House,1,1,6,Daddy's Home,1987-10-23,When Danny hears Michelle call Jesse and Joey 'Dada' he knows that he isn't spending enough time with his daughters and creates a father/daughter day.
Full House,1,1,7,Knock Yourself Out,1987-10-30,"Danny's audition for a job as a boxing announcer is a disaster. Meanwhile, the guys care for baby Michelle, who is sick with a cold."
Full House,1,1,8,Jesse's Girl,1987-11-06,Jesse's dream girl turns into a nightmare when she stops dating him and starts dating Joey.
Full House,1,1,9,The Miracle of Thanksgiving,1987-11-20,The Thanksgiving holiday doesn't work out as planned when everyone teams up to prepare the feast but the results aren't exactly worth eating.
Full House,1,1,10,Joey's Place,1987-12-04,Joey feels expendable when he prepares for a two-week comedy tour and the family starts acting like he's gone before he leaves.
Full House,1,1,11,The Big Three-O,1987-12-11,Danny arrives at his surprise 30th birthday party only to discover that Jesse has accidentally driven his prized car into the bay.
Full House,1,1,12,Our Very First Promo,1987-12-18,Members of the Tanner family are thrilled when they are chosen to appear in a local promotion at Danny's TV station. But their enthusiasm subsides when they discover show business is not as glamorous as they had thought.
Full House,1,1,13,Sisterly Love,1988-01-08,"Jesse suggests that D.J. audition for a commercial after she does well in a school performance. D.J. does well in her audition, but when she leaves the room, the part is given to Stephanie."
Full House,1,1,14,Half a Love Story,1988-01-15,"Jesse uses baby Michelle to get a date with one of Danny's co-workers, but when a girlfriend of Jesse's tells the story of how she met Jesse with Michelle, Jesse's date is postponed indefinitely."
Full House,1,1,15,A Pox in Our House,1988-01-29,"Danny is excited about the chance to play basketball with the Harlem Globetrotters, but when his family contracts chicken pox, finding a baby-sitter for Michelle seems impossible."
Full House,1,1,16,"But Seriously, Folks",1988-02-05,"Joey's comic debut in front of a talent scout is jinxed when a member of the audience, Phyllis Diller, takes over his spot in the lineup."
Full House,1,1,17,Danny's Very First Date,1988-02-12,"anny has not dated anyone since his wife's death one year ago. He becomes interested in the 'hive mother' of Stephanie's 'honeybee troop,' but when his kids find out he might date the woman, their negative response surprises him."
Full House,1,1,18,Just One of the Guys,1988-03-04,D.J. is jealous of the guys when her cousin comes for a visit and spends most of his time roughhousing with Danny.
Full House,1,1,19,The Seven-Month Itch (1),1988-03-11,"Unbeknownst to the family, Jesse leaves the house after becoming frustrated because of his lack of privacy."
Full House,1,1,20,The Seven-Month Itch (2),1988-03-18,The girls devise a scheme to bring their Uncle Jesse home after he leaves the house to find some privacy.
Full House,1,1,21,Mad Money,1988-04-29,"Jesse succeeds when he secretly plans an Elvis Presley tribute at a nightclub. Meanwhile, Joey attempts to pay back money that Danny lent him 11 years ago."
Full House,1,1,22,D.J. Tanners's Day Off,1988-05-06,D.J. takes advantage of Joey's gullible nature by convincing him that she is sick so she can skip school and sneak down to the mall to get Stacey Q's autograph.
Full House,1,2,1,Cutting It Close,1988-10-14,Jesse becomes a victim of one of Stephanie's 'pretend' haircuts.
Full House,1,2,2,Tanner vs. Gibbler,1988-10-21,"Danny gets a new job as the host of a morning talk show and a new partner in co-host Rebecca Donaldson; meanwhile, D.J.'s birthday party for her friend Kimmy ends in a bitter way."
Full House,1,2,3,It's Not My Job,1988-10-28,Jesse disappoints his father when he decides that he no longer wants to remain in the family exterminating business.
Full House,1,2,4,D.J.'s Very First Horse,1988-11-04,D.J. gets a horse but goes to great lengths to hide her new pet from her dad.
Full House,1,2,5,Jingle Hell,1988-11-11,"Jesse and Joey form a partnership to write advertising jingles, but when they pitch a song to their first clients, they find that their styles aren't exactly in harmony."
Full House,1,2,6,Beach Boy Bingo,1988-11-18,"D.J. wins a radio contest and can't decide whom she wants to take on a 'dream night' with the Beach Boys, but the Boys make her decision for her when they arrive at the house unexpectedly."
Full House,1,2,7,Joey Gets Tough,1988-11-25,"Joey upsets D.J. when he punishes her; meanwhile, Jesse appears on Danny's show but gets upset when Danny upstages him."
Full House,1,2,8,Triple Date,1988-12-09,"Danny arranges a triple date for Joey, Jesse and himself, but he is surprised when he discovers his date once had a serious relationship with Jesse."
Full House,1,2,9,Our Very First Christmas Show,1988-12-16,"The Tanners are dreaming of a white Christmas in Colorado, but their mood turns sad when they are snowed in at an airport en route."
