program_year_id,week_num,friday_date
1,1,1989-09-22
1,2,1989-09-29
1,3,1989-10-06
1,4,1989-10-13
1,5,1989-10-20
1,6,1989-10-27
1,7,1989-11-03
1,8,1989-11-10
1,9,1989-11-17
1,10,1989-11-24
1,11,1989-12-01
1,12,1989-12-08
1,13,1989-12-15
1,14,1989-12-22
1,15,1989-12-29
1,16,1990-01-05
1,17,1990-01-12
1,18,1990-01-19
1,19,1990-01-26
1,20,1990-02-02
1,21,1990-02-09
1,22,1990-02-16
1,23,1990-02-23
1,24,1990-03-02
1,25,1990-03-09
1,26,1990-03-16
1,27,1990-03-23
1,28,1990-03-30
1,29,1990-04-06
1,30,1990-04-13
1,31,1990-04-20
1,32,1990-04-27
1,33,1990-05-04
2,1,1990-09-21
2,2,1990-09-28
2,3,1990-10-05
2,4,1990-10-12
2,5,1990-10-19
2,6,1990-10-26
2,7,1990-11-02
2,8,1990-11-09
2,9,1990-11-16
2,10,1990-11-23
2,11,1990-11-30
2,12,1990-12-07
2,13,1990-12-14
2,14,1990-12-21
2,15,1990-12-28
2,16,1991-01-04
2,17,1991-01-11
2,18,1991-01-18
2,19,1991-01-25
2,20,1991-02-01
2,21,1991-02-08
2,22,1991-02-15
2,23,1991-02-22
2,24,1991-03-01
2,25,1991-03-08
2,26,1991-03-15
2,27,1991-03-22
2,28,1991-03-29
2,29,1991-04-05
2,30,1991-04-12
2,31,1991-04-19
2,32,1991-04-26
2,33,1991-05-03
3,1,1991-09-20
3,2,1991-09-27
3,3,1991-10-04
3,4,1991-10-11
3,5,1991-10-18
3,6,1991-10-25
3,7,1991-11-01
3,8,1991-11-08
3,9,1991-11-15
3,10,1991-11-22
3,11,1991-11-29
3,12,1991-12-06
3,13,1991-12-13
3,14,1991-12-20
3,15,1991-12-27
3,16,1991-01-03
3,17,1992-01-10
3,18,1992-01-17
3,19,1992-01-24
3,20,1992-01-31
3,21,1992-02-07
3,22,1992-02-14
3,23,1992-02-21
3,24,1992-02-28
3,25,1992-03-06
3,26,1992-03-13
3,27,1992-03-20
3,28,1992-03-27
3,29,1992-04-03
3,30,1992-04-10
3,31,1992-04-17
3,32,1992-04-24
3,33,1992-05-01
3,34,1992-05-08
4,1,1992-09-18
4,2,1992-09-25
4,3,1992-10-02
4,4,1992-10-09
4,5,1992-10-16
4,6,1992-10-23
4,7,1992-10-30
4,8,1992-11-06
4,9,1992-11-13
4,10,1992-11-20
4,11,1992-11-27
4,12,1992-12-04
4,13,1992-12-11
4,14,1992-12-18
4,15,1992-12-25
4,16,1993-01-01
4,17,1993-01-08
4,18,1993-01-15
4,19,1993-01-22
4,20,1993-01-29
4,21,1993-02-05
4,22,1993-02-12
4,23,1993-02-19
4,24,1993-02-26
4,25,1993-03-05
4,26,1993-03-12
4,27,1993-03-19
4,28,1993-03-26
4,29,1993-04-02
4,30,1993-04-09
4,31,1993-04-16
4,32,1993-04-23
4,33,1993-04-30
4,34,1993-05-07
4,35,1993-05-14
4,36,1993-05-21
5,1,1993-09-24
5,2,1993-10-01
5,3,1993-10-08
5,4,1993-10-15
5,5,1993-10-22
5,6,1993-10-29
5,7,1993-11-05
5,8,1993-11-12
5,9,1993-11-19
5,10,1993-11-26
5,11,1993-12-03
5,12,1993-12-10
5,13,1993-12-17
5,14,1993-12-24
5,15,1993-12-31
5,16,1994-01-07
5,17,1994-01-14
5,18,1994-01-21
5,19,1994-01-28
5,20,1994-02-04
5,21,1994-02-11
5,22,1994-02-18
5,23,1994-02-25
5,24,1994-03-04
5,25,1994-03-11
5,26,1994-03-18
5,27,1994-03-25
5,28,1994-04-01
5,29,1994-04-08
5,30,1994-04-15
5,31,1994-04-22
5,32,1994-04-29
5,33,1994-05-06
5,34,1994-05-13
5,35,1994-05-20
6,1,1994-09-23
6,2,1994-09-30
6,3,1994-10-07
6,4,1994-10-14
6,5,1994-10-21
6,6,1994-10-28
6,7,1994-11-04
6,8,1994-11-11
6,9,1994-11-18
6,10,1994-11-25
6,11,1994-12-02
6,12,1994-12-09
6,13,1994-12-16
6,14,1994-12-23
6,15,1994-12-30
6,16,1995-01-06
6,17,1995-01-13
6,18,1995-01-20
6,19,1995-01-27
6,20,1995-02-03
6,21,1995-02-10
6,22,1995-02-17
6,23,1995-02-24
6,24,1995-03-03
6,25,1995-03-10
6,26,1995-03-17
6,27,1995-03-24
6,28,1995-03-31
6,29,1995-04-07
6,30,1995-04-14
6,31,1995-04-21
6,32,1995-04-28
6,33,1995-05-05
6,34,1995-05-12
6,35,1995-05-19
